id,popularity,artist_total_followers
45yEuthJ9yq1rNXAOpBnqM,63,614721
3wWtfT7S2uVJJ3hGZlOLkZ,56,270045
245PKF3hKjtxJKIG153kF0,54,325156
2cAvReLDmjFQtCJFDJbHBU,58,274446
56ZTgzPBDge0OvCGgMO3OY,71,1601616
5FnpXrrMdJVZCK54oHWqUa,41,49460
5WId4o5jdGVhptNU0uqKxu,50,231031
61oqMHI8QuFrE5Qt91uJAj,45,7145
6Pled8lBAODAviS574l1Q4,44,46710
3FfbgiZhcCkoiI7IzOwXlI,47,28946
3XFcu2NnGWceLNdxRCfYH3,47,78295
6pF6MN603wSrisJcf7HS5v,59,73593
2h3ooJn8m8X8cL2g1BZ1Rd,46,55555
00JAfwtx5gNiiqyor88Dr5,44,120154
52mkFCABBeP3KjkWFA4M2H,37,32695
5YSPtpr66K8oOTvy3UjDcj,26,3859
39iRwJEhPG25CU7LYdNkQ2,36,45377
4NXLuWrShwLG44Had3qhw5,30,4744
7zd05tehJ8h4VEpwxdo4g4,29,3652
77Guu62HL3rXrjqYJKhyVT,39,30085
3KrgUUwoRQ6OQp4IOmqnSF,36,14170
7LUvRhMok52Bi5G2gmQzGc,13,2597
2M0MfjN3wqrrvKHXohxTfw,33,24578
3mOsjj1MhocRVwOejIZlTi,54,246768
3ulxDjZCgeHPGQK2IYwFlV,16,621
5DqlRlaq7MufmiP9uMiTk7,9,698
74ILynpls56WeC7FcBq0fF,22,1837
7ufLkxlHrq3NRaS1fCHOgq,39,13954
5G5mpXJ4LHpR1Xn9eiQbXm,9,1433
3lTo1RLFeLDQeytnn94IUm,9,2377
7yZlxklSzsDJIpuRRwe6bO,28,5492
19eCt7jL2g5BAktLU1KI2J,26,4902
6oBR9IHSypECG3HX96270k,14,619
4hf3caW9H8uFwwbv5pFjcg,57,780056
779Q9oJXqbVHN4DbtTYa6O,38,6641
5Uw20NgiZnH2WMcpQ7FdRB,32,8772
5mUZV2P2JSgKVTFni43ZTf,16,5450
5YXtQtphbmw7D4SZIXFFnL,6,1803
7znRYBiX5xj4ynCelc0QAI,2,386
4QpJDFoOivXjw4o8Bu5nd7,28,10876
5NH7AZYpUjd9UL1vR3KMzD,41,1321
4ltjTwCiYMegbR6ZA3Jbor,29,31383
4skJp5OKvcc9eKokiuhi2s,51,298729
00TFWY9PfTDEgsptXLrl1e,21,5249
2WATJg89TinN6JyNAV7pt8,8,580
39ydxfWgeQxEiGP9JxlT0s,4,590
14BtXFhNnDgFoBXBYGwsSd,2,127
4yvcSjfu4PC0CYQyLy4wSq,80,3236124
6Pofo6Xaht29sV8Vkiitv3,6,703
7L72uZK5KPwOwVhrR4EoUR,8,315
4swHcEkKR5mw1KcFoByofJ,0,15
4yvcSjfu4PC0CYQyLy4wSq,80,3236124
3W02sTifN8tW1bapAkS1hu,43,10651
4CTOMcrGypQOoxVO3yFlE9,18,613
2K3KVxeuTZGNiZ0aVy3lFb,7,900
2K3KVxeuTZGNiZ0aVy3lFb,7,900
2K3KVxeuTZGNiZ0aVy3lFb,7,900
4WqXqPmUuenMIr4QaFrZXN,68,551120
6B0h3jdOTVEwG7sPwNhJl4,4,447
